row_element,column_element,cooccurrence_count,row_element_count,column_element_count,normalized_pmi
K,S,51,85,55987,0.17192950620737799
K,Se,0,85,67,-1.0
K,Si,0,85,77,-1.0
Mg,As,0,1,25,-1.0
Mg,B,0,1,136,-1.0
Mg,Br,0,1,4212,-1.0
Mg,C,1,1,443905,0.0
Mg,Cl,0,1,27230,-1.0
Mg,Co,0,1,16,-1.0
Mg,F,0,1,40395,-1.0
Mg,Fe,0,1,6,-1.0
Mg,H,1,1,443900,8.662168581985562e-7
Mg,I,0,1,1338,-1.0
Mg,K,0,1,85,-1.0
Mg,Mg,1,1,1,
Mg,N,1,1,287885,0.0333028760077724
Mg,Na,0,1,514,-1.0
Mg,O,1,1,429026,0.0026218636623692878
Mg,P,0,1,15524,-1.0
Mg,S,1,1,55987,0.15922731681970245
Mg,Se,0,1,67,-1.0
Mg,Si,0,1,77,-1.0
N,As,21,287885,25,0.0259765198392372
N,B,121,287885,136,0.038523574709515215
N,Br,3924,287885,4212,0.07660431472538864
N,C,287885,287885,443905,0.0
N,Cl,25325,287885,27230,0.12588864168049924
N,Co,16,287885,16,0.04232811204244571
N,F,38407,287885,40395,0.15632416389687456
N,Fe,6,287885,6,0.03862510561418612
N,H,287883,287885,443900,9.96750492191874e-6
N,I,1299,287885,1338,0.06915789533862778
N,K,52,287885,85,-0.006446892374435777
N,Mg,1,287885,1,0.0333028760077724
N,N,287885,287885,287885,
N,Na,269,287885,514,-0.028947551251082008
N,O,274660,287885,429026,-0.026941686259284767
N,P,13815,287885,15524,0.09119031467428097
N,S,54263,287885,55987,0.1911593280429504
N,Se,67,287885,67,0.0492175887390872
N,Si,70,287885,77,0.03857730352418665
Na,As,0,514,25,-1.0
Na,B,0,514,136,-1.0
Na,Br,0,514,4212,-1.0
Na,C,514,514,443905,0.0
Na,Cl,3,514,27230,-0.1975949938718793
Na,Co,0,514,16,-1.0
Na,F,2,514,40395,-0.25606137532800904
Na,Fe,0,514,6,-1.0
Na,H,514,514,443900,1.6659513637083602e-6
Na,I,0,514,1338,-1.0
Na,K,0,514,85,-1.0
Na,Mg,0,514,1,-1.0
Na,N,269,514,287885,-0.028947551251082008
Na,Na,514,514,514,
Na,O,514,514,429026,0.005042498656589662
Na,P,71,514,15524,0.15715928671820958
Na,S,76,514,55987,0.018333663880668143
Na,Se,0,514,67,-1.0
Na,Si,0,514,77,-1.0
O,As,25,429026,25,0.003484397482046496
O,B,136,429026,136,0.004213851236799918
O,Br,3945,429026,4212,-0.006647155034861532
O,C,429026,429026,443905,0.0
O,Cl,25381,429026,27230,-0.01265909585285603
O,Co,16,429026,16,0.0033324010465307407
O,F,38675,429026,40395,-0.0038598179567805166
O,Fe,6,429026,6,0.003040871330193114
O,H,429021,429026,443900,-0.000011454094331098108
O,I,1263,429026,1338,-0.004024663938684621
O,K,85,429026,85,0.003982500763459186
O,Mg,1,429026,1,0.0026218636623692878
O,N,274660,429026,287885,-0.026941686259284767
O,Na,514,429026,514,0.005042498656589662
O,O,429026,429026,429026,
O,P,15499,429026,15524,0.009681949769342179
O,S,53028,429026,55987,-0.009509828179749847
O,Se,61,429026,67,-0.006716419071244239
O,Si,28,429026,77,-0.10107450640597541
P,As,0,15524,25,-1.0
P,B,0,15524,136,-1.0
P,Br,10,15524,4212,-0.25137272486264167
P,C,15524,15524,443905,0.0
P,Cl,337,15524,27230,-0.1446091298655672
P,Co,0,15524,16,-1.0
P,F,376,15524,40395,-0.18712052168204613
P,Fe,0,15524,6,-1.0
P,H,15524,15524,443900,3.3590767749560016e-6
P,I,0,15524,1338,-1.0
P,K,0,15524,85,-1.0
P,Mg,0,15524,1,-1.0
P,N,13815,15524,287885,0.09119031467428097
P,Na,71,15524,514,0.15715928671820958
P,O,15499,15524,429026,0.009681949769342179
P,P,15524,15524,15524,
P,S,946,15524,55987,-0.1182562655677905
P,Se,0,15524,67,-1.0
P,Si,0,15524,77,-1.0
S,As,10,55987,25,0.10786131857945878
S,B,12,55987,136,-0.03396478270696296
S,Br,770,55987,4212,0.05839077177494162
S,C,55987,55987,443905,0.0
S,Cl,4785,55987,27230,0.0732116234676675
S,Co,0,55987,16,-1.0
S,F,7190,55987,40395,0.0835515268928912
S,Fe,0,55987,6,-1.0
S,H,55987,55987,443900,5.4401272062913256e-6
S,I,47,55987,1338,-0.13965498789833009
S,K,51,55987,85,0.17192950620737799
S,Mg,1,55987,1,0.15922731681970245
S,N,54263,55987,287885,0.1911593280429504
S,Na,76,55987,514,0.018333663880668143
S,O,53028,55987,429026,-0.009509828179749847
S,P,946,55987,15524,-0.1182562655677905
S,S,55987,55987,55987,
S,Se,0,55987,67,-1.0
S,Si,0,55987,77,-1.0
Se,As,0,67,25,-1.0
Se,B,0,67,136,-1.0
Se,Br,0,67,4212,-1.0
Se,C,67,67,443905,0.0
Se,Cl,0,67,27230,-1.0
Se,Co,0,67,16,-1.0
Se,F,2,67,40395,-0.09054598522627896
Se,Fe,0,67,6,-1.0
Se,H,67,67,443900,1.2801628626828149e-6
Se,I,0,67,1338,-1.0
Se,K,0,67,85,-1.0
Se,Mg,0,67,1,-1.0
Se,N,67,67,287885,0.0492175887390872
Se,Na,0,67,514,-1.0
Se,O,61,67,429026,-0.006716419071244239
Se,P,0,67,15524,-1.0
Se,S,0,67,55987,-1.0
Se,Se,67,67,67,
Se,Si,0,67,77,-1.0
Si,As,0,77,25,-1.0
Si,B,0,77,136,-1.0
Si,Br,0,77,4212,-1.0
Si,C,77,77,443905,0.0
Si,Cl,1,77,27230,-0.11939325327992595
Si,Co,0,77,16,-1.0
Si,F,51,77,40395,0.21880791166383723
Si,Fe,0,77,6,-1.0
Si,H,77,77,443900,1.300728230295008e-6
Si,I,0,77,1338,-1.0
Si,K,0,77,85,-1.0
Si,Mg,0,77,1,-1.0
Si,N,70,77,287885,0.03857730352418665
Si,Na,0,77,514,-1.0
Si,O,28,77,429026,-0.10107450640597541
Si,P,0,77,15524,-1.0
Si,S,0,77,55987,-1.0
Si,Se,0,77,67,-1.0
Si,Si,77,77,77,
