row_element,column_element,cooccurrence_count,row_element_count,column_element_count,normalized_pmi
Al,Ni,1497,82361,50498,0.33569507288413064
Al,No,0,82361,366,-1.0
Al,Np,3,82361,482,0.12782715991678867
Al,O,56763,82361,109353141,-0.03142587363245733
Al,Og,0,82361,1,-1.0
Al,Os,35,82361,8718,0.11957882291445185
Al,P,6995,82361,2503338,0.14727651833702077
Al,Pa,0,82361,263,-1.0
Al,Pb,313,82361,18301,0.2522936811185672
Al,Pd,303,82361,48856,0.17318795252046543
Al,Pm,6,82361,410,0.1838275071593642
Al,Po,5,82361,1385,0.09967933450688485
Al,Pr,64,82361,3784,0.22387033920114963
Al,Pt,237,82361,143559,0.06948008190942583
Al,Pu,14,82361,577,0.22515928300102153
Al,Ra,6,82361,277,0.2071015841676032
Al,Rb,73,82361,11197,0.15949214446374368
Al,Re,90,82361,10228,0.18305931039900086
Al,Rf,4,82361,5242,0.008316896158731848
Al,Rg,0,82361,9,-1.0
Al,Rh,98,82361,14946,0.1632402637080166
Al,Rn,0,82361,138,-1.0
Al,Ru,126,82361,39255,0.11446571947730787
Al,S,9315,82361,36318993,-0.09965153624466347
Al,Sb,237,82361,19105,0.22258694616866087
Al,Sc,216,82361,3525,0.34144149909889127
Al,Se,209,82361,120337,0.07263754908543618
Al,Sg,1,82361,137,0.1288420670981806
Al,Si,6779,82361,1825174,0.17578916810510534
Al,Sm,76,82361,3363,0.24681060794182383
Al,Sn,659,82361,109311,0.18193182030011923
Al,Sr,486,82361,8295,0.36007301613913584
Al,Ta,249,82361,5739,0.31883356099891086
Al,Tb,76,82361,3117,0.25211902829590516
Al,Tc,6,82361,3663,0.0538548065191524
Al,Te,100,82361,20569,0.14216202133976377
Al,Th,27,82361,1733,0.2059273950557338
Al,Ti,2039,82361,77983,0.3337139892505307
Al,Tl,32,82361,6312,0.13424850140564584
Al,Tm,32,82361,1275,0.2396539569637231
Al,Ts,0,82361,3,-1.0
Al,U,109,82361,21879,0.14479204643813465
Al,V,524,82361,39871,0.24151732042028237
Al,W,274,82361,44325,0.17159900390593133
Al,Xe,1,82361,588,0.0506926912633835
Al,Y,588,82361,98196,0.17968907088869135
Al,Yb,69,82361,3286,0.24005577874202436
Al,Zn,2019,82361,76233,0.334579777162214
Al,Zr,1485,82361,106659,0.26879651649719677
Am,Ac,4,380,9776,0.2839285207550717
Am,Ag,0,380,19086,-1.0
Am,Al,5,380,82361,0.17561597606991314
Am,Am,380,380,380,
Am,Ar,0,380,4079,-1.0
Am,As,0,380,33552,-1.0
Am,At,0,380,1164,-1.0
Am,Au,2,380,18070,0.20011274120877712
Am,B,18,380,1315877,0.09528280975288221
Am,Ba,0,380,15764,-1.0
Am,Be,6,380,3233,0.3804998298542739
Am,Bh,0,380,74,-1.0
Am,Bi,1,380,15692,0.1630562533232366
Am,Bk,0,380,169,-1.0
Am,Br,9,380,8607410,-0.06510536849312631
Am,C,236,380,124377664,-0.03602112354482482
Am,Ca,1,380,47081,0.10411381363659547
Am,Cd,0,380,7961,-1.0
Am,Ce,1,380,8261,0.19747615867105817
Am,Cf,0,380,237,-1.0
Am,Cl,21,380,21906474,-0.07421183373494207
