row_element,column_element,cooccurrence_count,row_element_count,conditional_probability
Cu,Si,0,9,0.0
Cu,Sr,0,9,0.0
Cu,Tb,0,9,0.0
Cu,Tc,0,9,0.0
Cu,Te,0,9,0.0
Cu,Th,0,9,0.0
Cu,V,0,9,0.0
Cu,Zn,0,9,0.0
F,Al,0,319,0.0
F,As,0,319,0.0
F,B,0,319,0.0
F,Ba,0,319,0.0
F,Br,3,319,0.009404388714733543
F,C,316,319,0.9905956112852664
F,Ca,0,319,0.0
F,Cd,0,319,0.0
F,Cl,32,319,0.10031347962382445
F,Co,0,319,0.0
F,Cr,0,319,0.0
F,Cu,0,319,0.0
F,F,319,319,1.0
F,Fe,0,319,0.0
F,Ge,0,319,0.0
F,H,316,319,0.9905956112852664
F,He,0,319,0.0
F,I,0,319,0.0
F,K,0,319,0.0
F,Mg,0,319,0.0
F,Mn,0,319,0.0
F,N,192,319,0.6018808777429467
F,Na,1,319,0.003134796238244514
F,Ni,0,319,0.0
F,O,306,319,0.9592476489028213
F,P,8,319,0.025078369905956112
F,Pa,0,319,0.0
F,Pb,0,319,0.0
F,Pt,0,319,0.0
F,S,31,319,0.09717868338557993
F,Se,0,319,0.0
F,Si,1,319,0.003134796238244514
F,Sr,0,319,0.0
F,Tb,0,319,0.0
F,Tc,0,319,0.0
F,Te,0,319,0.0
F,Th,0,319,0.0
F,V,0,319,0.0
F,Zn,0,319,0.0
Fe,Al,0,23,0.0
Fe,As,0,23,0.0
Fe,B,0,23,0.0
Fe,Ba,0,23,0.0
Fe,Br,0,23,0.0
Fe,C,3,23,0.13043478260869565
Fe,Ca,0,23,0.0
Fe,Cd,0,23,0.0
Fe,Cl,0,23,0.0
Fe,Co,0,23,0.0
Fe,Cr,0,23,0.0
Fe,Cu,0,23,0.0
Fe,F,0,23,0.0
Fe,Fe,23,23,1.0
Fe,Ge,0,23,0.0
Fe,H,3,23,0.13043478260869565
Fe,He,0,23,0.0
Fe,I,0,23,0.0
Fe,K,0,23,0.0
Fe,Mg,0,23,0.0
Fe,Mn,0,23,0.0
Fe,N,3,23,0.13043478260869565
Fe,Na,0,23,0.0
Fe,Ni,0,23,0.0
Fe,O,3,23,0.13043478260869565
Fe,P,0,23,0.0
Fe,Pa,0,23,0.0
Fe,Pb,0,23,0.0
Fe,Pt,0,23,0.0
Fe,S,3,23,0.13043478260869565
Fe,Se,0,23,0.0
Fe,Si,0,23,0.0
Fe,Sr,0,23,0.0
Fe,Tb,0,23,0.0
Fe,Tc,0,23,0.0
Fe,Te,0,23,0.0
Fe,Th,0,23,0.0
Fe,V,0,23,0.0
Fe,Zn,0,23,0.0
Ge,Al,0,6,0.0
Ge,As,0,6,0.0
Ge,B,0,6,0.0
Ge,Ba,0,6,0.0
Ge,Br,0,6,0.0
Ge,C,5,6,0.8333333333333334
Ge,Ca,0,6,0.0
Ge,Cd,0,6,0.0
Ge,Cl,0,6,0.0
Ge,Co,0,6,0.0
Ge,Cr,0,6,0.0
Ge,Cu,0,6,0.0
Ge,F,0,6,0.0
Ge,Fe,0,6,0.0
Ge,Ge,6,6,1.0
Ge,H,5,6,0.8333333333333334
Ge,He,0,6,0.0
Ge,I,0,6,0.0
Ge,K,0,6,0.0
Ge,Mg,0,6,0.0
Ge,Mn,0,6,0.0
Ge,N,0,6,0.0
Ge,Na,0,6,0.0
Ge,Ni,0,6,0.0
Ge,O,0,6,0.0
Ge,P,0,6,0.0
Ge,Pa,0,6,0.0
Ge,Pb,0,6,0.0
Ge,Pt,0,6,0.0
Ge,S,0,6,0.0
Ge,Se,0,6,0.0
Ge,Si,0,6,0.0
Ge,Sr,0,6,0.0
Ge,Tb,0,6,0.0
Ge,Tc,0,6,0.0
Ge,Te,0,6,0.0
Ge,Th,0,6,0.0
Ge,V,0,6,0.0
Ge,Zn,0,6,0.0
H,Al,2,546233,3.6614411798628057e-6
H,As,84,546233,0.00015378052955423784
H,B,16,546233,0.000029291529438902446
H,Ba,0,546233,0.0
H,Br,5081,546233,0.009301891317441458
H,C,546131,546233,0.999813266499827
H,Ca,0,546233,0.0
H,Cd,0,546233,0.0
H,Cl,7177,546233,0.013139081673937679
H,Co,9,546233,0.000016476485309382626
H,Cr,0,546233,0.0
H,Cu,1,546233,1.8307205899314029e-6
H,F,316,546233,0.0005785077064183233
H,Fe,3,546233,5.492161769794209e-6
H,Ge,5,546233,9.153602949657015e-6
H,H,546233,546233,1.0
H,He,11,546233,0.00002013792648924543
H,I,168,546233,0.0003075610591084757
H,K,3,546233,5.492161769794209e-6
H,Mg,23,546233,0.00004210657356842227
H,Mn,0,546233,0.0
H,N,109135,546233,0.19979569158216365
H,Na,1,546233,1.8307205899314029e-6
H,Ni,4,546233,7.3228823597256115e-6
H,O,505998,546233,0.92634095706411
H,P,2555,546233,0.004677491107274734
H,Pa,0,546233,0.0
H,Pb,0,546233,0.0
H,Pt,0,546233,0.0
H,S,11496,546233,0.021045963901851407
H,Se,39,546233,0.00007139810300732471
H,Si,63,546233,0.00011533539716567838
H,Sr,0,546233,0.0
H,Tb,0,546233,0.0
H,Tc,0,546233,0.0
H,Te,0,546233,0.0
H,Th,0,546233,0.0
H,V,2,546233,3.6614411798628057e-6
H,Zn,0,546233,0.0
He,Al,0,11,0.0
He,As,0,11,0.0
He,B,0,11,0.0
He,Ba,0,11,0.0
He,Br,0,11,0.0
He,C,11,11,1.0
He,Ca,0,11,0.0
He,Cd,0,11,0.0
He,Cl,0,11,0.0
He,Co,0,11,0.0
He,Cr,0,11,0.0
He,Cu,0,11,0.0
He,F,0,11,0.0
He,Fe,0,11,0.0
He,Ge,0,11,0.0
He,H,11,11,1.0
He,He,11,11,1.0
He,I,0,11,0.0
He,K,0,11,0.0
He,Mg,0,11,0.0
He,Mn,0,11,0.0
He,N,9,11,0.8181818181818182
He,Na,0,11,0.0
He,Ni,0,11,0.0
He,O,11,11,1.0
He,P,0,11,0.0
He,Pa,0,11,0.0
He,Pb,0,11,0.0
He,Pt,0,11,0.0
He,S,0,11,0.0
He,Se,0,11,0.0
He,Si,0,11,0.0
He,Sr,0,11,0.0
He,Tb,0,11,0.0
He,Tc,0,11,0.0
He,Te,0,11,0.0
He,Th,0,11,0.0
He,V,0,11,0.0
He,Zn,0,11,0.0
I,Al,0,169,0.0
I,As,0,169,0.0
I,B,0,169,0.0
I,Ba,0,169,0.0
I,Br,36,169,0.21301775147928995
I,C,167,169,0.9881656804733728
I,Ca,0,169,0.0
